"UserName","Description","DelayedAutoStart","BinaryPathName","StartupType","Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","StartType","ServiceHandle","Status","ServiceType","Site","Container"
"","Runtime for activating conversational agent applications","False","C:\Windows\system32\svchost.exe -k AarSvcGroup -p","Manual","AarSvc_215589","System.ServiceProcess.ServiceController[]","False","False","False","Agent Activation Runtime_215589","System.ServiceProcess.ServiceController[]",".","AarSvc_215589","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","224",,
"LocalSystem","Airwatch Service for Beacon and samples","False","""C:\Program Files (x86)\Airwatch\AgentUI\TaskScheduler.exe""","Automatic","AirwatchService","System.ServiceProcess.ServiceController[]","False","True","False","AirwatchService","System.ServiceProcess.ServiceController[]",".","AirwatchService","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess",,
"NT AUTHORITY\LocalService","Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.","False","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","AJRouter","System.ServiceProcess.ServiceController[]","False","False","False","AllJoyn Router Service","System.ServiceProcess.ServiceController[]",".","AJRouter","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"NT AUTHORITY\LocalService","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing","False","C:\Windows\System32\alg.exe","Manual","ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"NT Authority\LocalService","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.","False","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manual","AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"LocalSystem","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","False","C:\Windows\system32\svchost.exe -k netsvcs -p","Manual","Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"LocalSystem","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\Windows\system32\svchost.exe -k netsvcs -p","Manual","AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"LocalSystem","Gets apps ready for use the first time a user signs in to this PC and when adding new apps.","False","C:\Windows\System32\svchost.exe -k AppReadiness -p","Manual","AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"LocalSystem","Manages App-V users and virtual applications","False","C:\Windows\system32\AppVClient.exe","Disabled","AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]","Disabled",,"Stopped","Win32OwnProcess",,
"LocalSystem","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","False","C:\Windows\system32\svchost.exe -k wsappx -p","Manual","AppXSvc","System.ServiceProcess.ServiceController[]","False","True","True","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]","Manual",,"Running","Win32OwnProcess, Win32ShareProcess",,
"NT AUTHORITY\NetworkService","Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start.","False","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","Manual","aspnet_state","System.ServiceProcess.ServiceController[]","False","False","False","ASP.NET State Service","System.ServiceProcess.ServiceController[]",".","aspnet_state","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32OwnProcess",,
"LocalSystem","AssignedAccessManager Service supports kiosk experience in Windows.","False","C:\Windows\system32\svchost.exe -k AssignedAccessManagerSvc","Manual","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","False","False","False","AssignedAccessManager Service","System.ServiceProcess.ServiceController[]",".","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","Manual",,"Stopped","Win32ShareProcess",,
"LocalSystem","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","False","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Automatic","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","Automatic",,"Running","Win32OwnProcess, Win32ShareProcess",,
